Plant_ID,Date,Temperature (°C),F,Humidity (%),TDS Value (ppm),pH Level,Growth Days,weeks
1,8/3/2023,33.4,92.12,53,582,6.4,1,0.142857143
1,8/4/2023,33.5,92.3,53,451,6.1,2,0.285714286
1,8/5/2023,33.4,92.12,59,678,6.4,3,0.428571429
1,8/6/2023,33.4,92.12,68,420,6.4,4,0.571428571
1,8/7/2023,33.4,92.12,74,637,6.5,5,0.714285714
1,8/8/2023,32.3,90.14,77,478,6.8,6,0.857142857
1,8/9/2023,32.3,90.14,75,682,6,7,1
1,8/10/2023,22.7,72.86,63,576,6.3,8,1.142857143
1,8/11/2023,31.9,89.42,69,662,6.1,9,1.285714286
1,8/12/2023,30.2,86.36,59,607,6.2,10,1.428571429
1,8/13/2023,30.1,86.18,77,670,6.5,11,1.571428571
1,8/14/2023,30.1,86.18,54,535,6.4,12,1.714285714
1,8/15/2023,30.1,86.18,78,480,6,13,1.857142857
1,8/16/2023,29.8,85.64,56,688,6.4,14,2
1,8/17/2023,29.6,85.28,62,653,6.6,15,2.142857143
1,8/18/2023,30.9,87.62,70,742,6.1,16,2.285714286
1,8/19/2023,30.8,87.44,57,580,6.2,17,2.428571429
1,8/20/2023,30.9,87.62,78,789,6.5,18,2.571428571
1,8/21/2023,30.2,86.36,63,516,6,19,2.714285714
1,8/22/2023,30.5,86.9,51,527,6.4,20,2.857142857
1,8/23/2023,30.8,87.44,57,669,6.2,21,3
1,8/24/2023,31.3,88.34,73,645,6.6,22,3.142857143
1,8/25/2023,31.4,88.52,52,744,6.8,23,3.285714286
1,8/26/2023,31.4,88.52,61,719,6.4,24,3.428571429
1,8/27/2023,30.1,86.18,77,589,6.7,25,3.571428571
1,8/28/2023,29.4,84.92,71,654,6.4,26,3.714285714
1,8/29/2023,28.7,83.66,64,451,6.4,27,3.857142857
1,8/30/2023,29.1,84.38,51,623,6.6,28,4
1,8/31/2023,29.2,84.56,55,680,6.7,29,4.142857143
1,9/1/2023,31.7,89.06,50,601,6.4,30,4.285714286
1,9/2/2023,31.7,89.06,52,603,6.7,31,4.428571429
1,9/3/2023,31.7,89.06,76,762,6.7,32,4.571428571
1,9/4/2023,31.7,89.06,55,517,6,33,4.714285714
1,9/5/2023,32,89.6,55,743,6.6,34,4.857142857
1,9/6/2023,32.1,89.78,76,709,6,35,5
1,9/7/2023,31.5,88.7,68,416,6.2,36,5.142857143
1,9/8/2023,29.8,85.64,68,577,6.3,37,5.285714286
1,9/9/2023,20.1,68.18,61,621,6.5,38,5.428571429
1,9/10/2023,31.1,87.98,64,478,6,39,5.571428571
1,9/11/2023,31.2,88.16,79,672,6.3,40,5.714285714
1,9/12/2023,31.2,88.16,62,576,6.7,41,5.857142857
1,9/13/2023,30.4,86.72,57,726,6.1,42,6
1,9/14/2023,29.1,84.38,75,636,6.8,43,6.142857143
1,9/15/2023,30.6,87.08,55,688,6.6,44,6.285714286
1,9/16/2023,31.5,88.7,68,637,6.2,45,6.428571429
2,8/3/2023,33.4,92.12,74,586,6.1,1,0.142857143
2,8/4/2023,33.5,92.3,65,433,6.8,2,0.285714286
2,8/5/2023,33.4,92.12,55,749,6.7,3,0.428571429
2,8/6/2023,33.4,92.12,68,680,6.8,4,0.571428571
2,8/7/2023,33.4,92.12,50,488,6.4,5,0.714285714
2,8/8/2023,32.3,90.14,78,697,6.3,6,0.857142857
2,8/9/2023,32.3,90.14,77,624,6.6,7,1
2,8/10/2023,22.7,72.86,57,593,6.5,8,1.142857143
2,8/11/2023,31.9,89.42,73,564,6.1,9,1.285714286
2,8/12/2023,30.2,86.36,65,416,6.6,10,1.428571429
2,8/13/2023,30.1,86.18,71,664,6.4,11,1.571428571
2,8/14/2023,30.1,86.18,65,746,6.8,12,1.714285714
2,8/15/2023,30.1,86.18,75,646,6.3,13,1.857142857
2,8/16/2023,29.8,85.64,58,413,6.5,14,2
2,8/17/2023,29.6,85.28,50,487,6.7,15,2.142857143
2,8/18/2023,30.9,87.62,79,564,6.2,16,2.285714286
2,8/19/2023,30.8,87.44,56,430,6.5,17,2.428571429
2,8/20/2023,30.9,87.62,71,527,6.2,18,2.571428571
2,8/21/2023,30.2,86.36,51,704,6.3,19,2.714285714
2,8/22/2023,30.5,86.9,62,732,6.3,20,2.857142857
2,8/23/2023,30.8,87.44,69,420,6.5,21,3
2,8/24/2023,31.3,88.34,54,608,6.3,22,3.142857143
2,8/25/2023,31.4,88.52,58,687,6.3,23,3.285714286
2,8/26/2023,31.4,88.52,64,529,6.2,24,3.428571429
2,8/27/2023,30.1,86.18,78,427,6.3,25,3.571428571
2,8/28/2023,29.4,84.92,57,780,6.4,26,3.714285714
2,8/29/2023,28.7,83.66,57,508,6.2,27,3.857142857
2,8/30/2023,29.1,84.38,58,603,6.6,28,4
2,8/31/2023,29.2,84.56,56,581,6.7,29,4.142857143
2,9/1/2023,31.7,89.06,56,622,6.4,30,4.285714286
2,9/2/2023,31.7,89.06,73,598,6.5,31,4.428571429
2,9/3/2023,31.7,89.06,57,597,6.2,32,4.571428571
2,9/4/2023,31.7,89.06,61,498,6,33,4.714285714
2,9/5/2023,32,89.6,63,569,6.4,34,4.857142857
2,9/6/2023,32.1,89.78,75,697,6.3,35,5
2,9/7/2023,31.5,88.7,77,627,6.6,36,5.142857143
2,9/8/2023,29.8,85.64,61,537,6.6,37,5.285714286
2,9/9/2023,20.1,68.18,63,785,6.3,38,5.428571429
2,9/10/2023,31.1,87.98,70,428,6.7,39,5.571428571
2,9/11/2023,31.2,88.16,56,797,6.8,40,5.714285714
2,9/12/2023,31.2,88.16,66,657,6.8,41,5.857142857
2,9/13/2023,30.4,86.72,75,473,6.6,42,6
2,9/14/2023,29.1,84.38,72,689,6.3,43,6.142857143
2,9/15/2023,30.6,87.08,52,681,6.3,44,6.285714286
2,9/16/2023,31.5,88.7,79,719,6.7,45,6.428571429
3,8/3/2023,33.4,92.12,51,667,6.2,1,0.142857143
3,8/4/2023,33.5,92.3,63,632,6.1,2,0.285714286
3,8/5/2023,33.4,92.12,65,636,6.7,3,0.428571429
3,8/6/2023,33.4,92.12,62,525,6.6,4,0.571428571
3,8/7/2023,33.4,92.12,65,735,6,5,0.714285714
3,8/8/2023,32.3,90.14,80,794,6.4,6,0.857142857
3,8/9/2023,32.3,90.14,80,691,6.2,7,1
3,8/10/2023,22.7,72.86,65,783,6.6,8,1.142857143
3,8/11/2023,31.9,89.42,62,531,6.7,9,1.285714286
3,8/12/2023,30.2,86.36,69,473,6.4,10,1.428571429
3,8/13/2023,30.1,86.18,55,745,6.1,11,1.571428571
3,8/14/2023,30.1,86.18,80,569,6.3,12,1.714285714
3,8/15/2023,30.1,86.18,63,743,6.3,13,1.857142857
3,8/16/2023,29.8,85.64,69,566,6.1,14,2
3,8/17/2023,29.6,85.28,53,671,6.6,15,2.142857143
3,8/18/2023,30.9,87.62,58,643,6.4,16,2.285714286
3,8/19/2023,30.8,87.44,67,682,6.6,17,2.428571429
3,8/20/2023,30.9,87.62,79,467,6.3,18,2.571428571
3,8/21/2023,30.2,86.36,58,714,6.7,19,2.714285714
3,8/22/2023,30.5,86.9,80,726,6.6,20,2.857142857
3,8/23/2023,30.8,87.44,79,780,6.1,21,3
